"Gene > GO Annotation > Ontology Term . Name","Gene > Systematic Name","Gene > GO Annotation > Ontology Term . Namespace"
"Golgi apparatus","YNL297C","cellular_component"
"Golgi apparatus","YNR026C","cellular_component"
"Golgi apparatus","YOL018C","cellular_component"
"Golgi apparatus","YOL137W","cellular_component"
"Golgi apparatus","YOR034C","cellular_component"
"Golgi apparatus","YOR036W","cellular_component"
"Golgi apparatus","YOR069W","cellular_component"
"Golgi apparatus","YOR070C","cellular_component"
"Golgi apparatus","YOR079C","cellular_component"
"Golgi apparatus","YOR094W","cellular_component"
"Golgi apparatus","YOR099W","cellular_component"
"Golgi apparatus","YOR115C","cellular_component"
"Golgi apparatus","YOR171C","cellular_component"
"Golgi apparatus","YOR216C","cellular_component"
"Golgi apparatus","YOR299W","cellular_component"
"Golgi apparatus","YOR311C","cellular_component"
"Golgi apparatus","YOR320C","cellular_component"
"Golgi apparatus","YOR322C","cellular_component"
"Golgi apparatus","YOR357C","cellular_component"
"Golgi apparatus","YPL010W","cellular_component"
"Golgi apparatus","YPL050C","cellular_component"
"Golgi apparatus","YPL051W","cellular_component"
"Golgi apparatus","YPL087W","cellular_component"
"Golgi apparatus","YPL195W","cellular_component"
"Golgi apparatus","YPL246C","cellular_component"
"Golgi apparatus","YPR029C","cellular_component"
"Golgi apparatus","YPR079W","cellular_component"
"Golgi apparatus","YPR105C","cellular_component"
"Golgi apparatus","YPR113W","cellular_component"
"Golgi apparatus","YPR159W","cellular_component"
"Golgi apparatus","YPR165W","cellular_component"
"Golgi apparatus","YPR181C","cellular_component"
"Golgi-associated vesicle","YJR031C","cellular_component"
"Golgi-associated vesicle","YMR192W","cellular_component"
"Golgi-associated vesicle","YPL249C","cellular_component"
"Golgi cis cisterna","YEL022W","cellular_component"
"Golgi cis cisterna","YEL036C","cellular_component"
"Golgi cis cisterna","YGL038C","cellular_component"
"Golgi cis cisterna","YJR031C","cellular_component"
"Golgi cis cisterna","YMR052W","cellular_component"
"Golgi cisterna membrane","YDR372C","cellular_component"
"Golgi cisterna membrane","YKL004W","cellular_component"
"Golgi inheritance","YFR051C","biological_process"
"Golgi inheritance","YNL304W","biological_process"
"Golgi inheritance","YOR326W","biological_process"
"Golgi inheritance","YPR055W","biological_process"
"Golgi localization","YFR051C","biological_process"
"Golgi localization","YNL304W","biological_process"
"Golgi lumen","YBR014C","cellular_component"
"Golgi lumen","YDL010W","cellular_component"
"Golgi lumen","YOR216C","cellular_component"
"Golgi medial cisterna","YDR372C","cellular_component"
"Golgi medial cisterna","YHL031C","cellular_component"
"Golgi medial cisterna","YJR040W","cellular_component"
"Golgi medial cisterna","YKL212W","cellular_component"
"Golgi medial cisterna","YOR320C","cellular_component"
"Golgi membrane","YAL042W","cellular_component"
"Golgi membrane","YAR042W","cellular_component"
"Golgi membrane","YBL102W","cellular_component"
"Golgi membrane","YBR015C","cellular_component"
"Golgi membrane","YBR183W","cellular_component"
"Golgi membrane","YCL001W","cellular_component"
"Golgi membrane","YCR067C","cellular_component"
"Golgi membrane","YDL058W","cellular_component"
"Golgi membrane","YDL145C","cellular_component"
"Golgi membrane","YDL149W","cellular_component"
"Golgi membrane","YDR100W","cellular_component"
"Golgi membrane","YDR137W","cellular_component"
"Golgi membrane","YDR189W","cellular_component"
"Golgi membrane","YDR238C","cellular_component"
"Golgi membrane","YDR264C","cellular_component"
"Golgi membrane","YDR373W","cellular_component"
"Golgi membrane","YDR483W","cellular_component"
"Golgi membrane","YDR503C","cellular_component"
"Golgi membrane","YDR517W","cellular_component"
"Golgi membrane","YEL036C","cellular_component"
"Golgi membrane","YEL042W","cellular_component"
"Golgi membrane","YER001W","cellular_component"
"Golgi membrane","YER005W","cellular_component"
"Golgi membrane","YER031C","cellular_component"
"Golgi membrane","YER083C","cellular_component"
"Golgi membrane","YER113C","cellular_component"
"Golgi membrane","YER157W","cellular_component"
"Golgi membrane","YFL038C","cellular_component"
"Golgi membrane","YFL048C","cellular_component"
"Golgi membrane","YFR051C","cellular_component"
"Golgi membrane","YGL005C","cellular_component"
"Golgi membrane","YGL020C","cellular_component"
"Golgi membrane","YGL038C","cellular_component"
"Golgi membrane","YGL054C","cellular_component"
"Golgi membrane","YGL167C","cellular_component"
"Golgi membrane","YGL198W","cellular_component"
"Golgi membrane","YGL200C","cellular_component"
"Golgi membrane","YGL210W","cellular_component"
"Golgi membrane","YGL223C","cellular_component"
"Golgi membrane","YGL225W","cellular_component"
"Golgi membrane","YGL257C","cellular_component"
"Golgi membrane","YGR120C","cellular_component"
"Golgi membrane","YGR172C","cellular_component"
"Golgi membrane","YGR209C","cellular_component"
"Golgi membrane","YHL031C","cellular_component"
"Golgi membrane","YHR098C","cellular_component"
"Golgi membrane","YIL014W","cellular_component"
"Golgi membrane","YIL041W","cellular_component"
"Golgi membrane","YIL109C","cellular_component"
"Golgi membrane","YJL004C","cellular_component"
"Golgi membrane","YJL139C","cellular_component"
"Golgi membrane","YJL178C","cellular_component"
"Golgi membrane","YJR040W","cellular_component"
"Golgi membrane","YKL034W","cellular_component"
"Golgi membrane","YKL039W","cellular_component"
"Golgi membrane","YKL165C","cellular_component"
"Golgi membrane","YKL174C","cellular_component"
"Golgi membrane","YKL179C","cellular_component"
"Golgi membrane","YKR030W","cellular_component"
"Golgi membrane","YKR061W","cellular_component"
"Golgi membrane","YKR088C","cellular_component"
"Golgi membrane","YLR026C","cellular_component"
"Golgi membrane","YLR039C","cellular_component"
"Golgi membrane","YLR043C","cellular_component"
"Golgi membrane","YLR080W","cellular_component"
"Golgi membrane","YLR220W","cellular_component"
"Golgi membrane","YLR242C","cellular_component"
"Golgi membrane","YLR260W","cellular_component"
"Golgi membrane","YLR268W","cellular_component"
"Golgi membrane","YLR309C","cellular_component"
"Golgi membrane","YML012W","cellular_component"
"Golgi membrane","YML038C","cellular_component"
"Golgi membrane","YML071C","cellular_component"
"Golgi membrane","YML115C","cellular_component"
"Golgi membrane","YMR054W","cellular_component"
"Golgi membrane","YMR071C","cellular_component"
"Golgi membrane","YMR197C","cellular_component"
"Golgi membrane","YNL006W","cellular_component"
"Golgi membrane","YNL041C","cellular_component"
"Golgi membrane","YNL049C","cellular_component"
"Golgi membrane","YNL051W","cellular_component"
"Golgi membrane","YNL263C","cellular_component"
"Golgi membrane","YNL287W","cellular_component"
"Golgi membrane","YNL297C","cellular_component"
"Golgi membrane","YOR069W","cellular_component"
"Golgi membrane","YOR079C","cellular_component"
"Golgi membrane","YOR099W","cellular_component"
"Golgi membrane","YOR171C","cellular_component"
"Golgi membrane","YOR216C","cellular_component"
"Golgi membrane","YOR311C","cellular_component"
"Golgi membrane","YOR320C","cellular_component"
"Golgi membrane","YOR357C","cellular_component"
"Golgi membrane","YPL010W","cellular_component"
"Golgi membrane","YPL050C","cellular_component"
"Golgi membrane","YPL087W","cellular_component"
"Golgi membrane","YPL145C","cellular_component"
"Golgi membrane","YPL246C","cellular_component"
"Golgi membrane","YPR029C","cellular_component"
"Golgi membrane","YPR095C","cellular_component"
"Golgi membrane","YPR105C","cellular_component"
"Golgi membrane","YPR159W","cellular_component"
"Golgi membrane","YPR181C","cellular_component"
"Golgi organization","YBR264C","biological_process"
"Golgi organization","YDR517W","biological_process"
"Golgi organization","YGL223C","biological_process"
"Golgi stack","YAL002W","cellular_component"
"Golgi stack","YFL038C","cellular_component"
"Golgi stack","YGR170W","cellular_component"
"Golgi stack","YMR197C","cellular_component"
"Golgi stack","YOR070C","cellular_component"
"Golgi to endosome transport","YDR153C","biological_process"
"Golgi to endosome transport","YDR323C","biological_process"
"Golgi to endosome transport","YDR358W","biological_process"
"Golgi to endosome transport","YHR108W","biological_process"
"Golgi to endosome transport","YJL004C","biological_process"
"Golgi to endosome transport","YJR125C","biological_process"
"Golgi to endosome transport","YKR014C","biological_process"
"Golgi to endosome transport","YLR148W","biological_process"
"Golgi to endosome transport","YMR231W","biological_process"
"Golgi to endosome transport","YNL297C","biological_process"
"Golgi to endosome transport","YOR089C","biological_process"
"Golgi to endosome transport","YPL045W","biological_process"
"Golgi to plasma membrane protein transport","YBR080C","biological_process"
"Golgi to plasma membrane protein transport","YBR164C","biological_process"
"Golgi to plasma membrane protein transport","YDL226C","biological_process"
"Golgi to plasma membrane protein transport","YJL004C","biological_process"
"Golgi to plasma membrane protein transport","YJL145W","biological_process"
"Golgi to plasma membrane protein transport","YLR309C","biological_process"
"Golgi to plasma membrane protein transport","YLR380W","biological_process"
"Golgi to plasma membrane protein transport","YNL264C","biological_process"
"Golgi to plasma membrane protein transport","YPL051W","biological_process"
"Golgi to plasma membrane transport","YBL106C","biological_process"
"Golgi to plasma membrane transport","YBR102C","biological_process"
"Golgi to plasma membrane transport","YDL192W","biological_process"
"Golgi to plasma membrane transport","YDR166C","biological_process"
"Golgi to plasma membrane transport","YER008C","biological_process"
"Golgi to plasma membrane transport","YFL005W","biological_process"
"Golgi to plasma membrane transport","YGL233W","biological_process"
"Golgi to plasma membrane transport","YGR009C","biological_process"
"Golgi to plasma membrane transport","YGR057C","biological_process"
"Golgi to plasma membrane transport","YIL068C","biological_process"
"Golgi to plasma membrane transport","YJL085W","biological_process"
"Golgi to plasma membrane transport","YJL099W","biological_process"
"Golgi to plasma membrane transport","YKL176C","biological_process"
"Golgi to plasma membrane transport","YKR027W","biological_process"
"Golgi to plasma membrane transport","YLR166C","biological_process"
"Golgi to plasma membrane transport","YLR330W","biological_process"
"Golgi to plasma membrane transport","YLR380W","biological_process"
"Golgi to plasma membrane transport","YMR183C","biological_process"
"Golgi to plasma membrane transport","YMR237W","biological_process"
"Golgi to plasma membrane transport","YMR266W","biological_process"
"Golgi to plasma membrane transport","YOR299W","biological_process"
"Golgi to plasma membrane transport","YOR327C","biological_process"
"Golgi to plasma membrane transport","YPR032W","biological_process"
"Golgi to plasma membrane transport","YPR055W","biological_process"
"Golgi to plasma membrane transport vesicle","YBR029C","cellular_component"
"Golgi to vacuole transport","YBR288C","biological_process"
"Golgi to vacuole transport","YDR027C","biological_process"
"Golgi to vacuole transport","YDR323C","biological_process"
"Golgi to vacuole transport","YDR358W","biological_process"
"Golgi to vacuole transport","YDR484W","biological_process"
"Golgi to vacuole transport","YGR261C","biological_process"
"Golgi to vacuole transport","YHL019C","biological_process"
"Golgi to vacuole transport","YHR108W","biological_process"
"Golgi to vacuole transport","YJL029C","biological_process"
"Golgi to vacuole transport","YKL135C","biological_process"
"Golgi to vacuole transport","YLR170C","biological_process"
"Golgi to vacuole transport","YLR396C","biological_process"
"Golgi to vacuole transport","YMR197C","biological_process"
"Golgi to vacuole transport","YOL018C","biological_process"
"Golgi to vacuole transport","YOR036W","biological_process"
"Golgi to vacuole transport","YPL195W","biological_process"
"Golgi to vacuole transport","YPL259C","biological_process"
"Golgi to vacuole transport","YPR029C","biological_process"
"Golgi trans cisterna","YAR042W","cellular_component"
"Golgi trans cisterna","YBL102W","cellular_component"
"Golgi trans cisterna","YNL127W","cellular_component"
"Golgi transport complex","YER157W","cellular_component"
"Golgi transport complex","YGL005C","cellular_component"
"Golgi transport complex","YGL223C","cellular_component"
"Golgi transport complex","YGR120C","cellular_component"
"Golgi transport complex","YML071C","cellular_component"
"Golgi transport complex","YNL041C","cellular_component"
"Golgi transport complex","YNL051W","cellular_component"
"Golgi transport complex","YPR105C","cellular_component"
"Golgi vesicle budding","YFL038C","biological_process"
"Golgi vesicle docking","YBR080C","biological_process"
"Golgi vesicle docking","YDL058W","biological_process"
"Golgi vesicle docking","YFL038C","biological_process"
"Golgi vesicle transport","YDL058W","biological_process"
"Golgi vesicle transport","YDR468C","biological_process"
"Golgi vesicle transport","YGL145W","biological_process"
"Golgi vesicle transport","YHL031C","biological_process"
"Golgi vesicle transport","YKL179C","biological_process"
"GPI anchor biosynthetic process","YBR004C","biological_process"
"GPI anchor biosynthetic process","YCL052C","biological_process"
"GPI anchor biosynthetic process","YCR017C","biological_process"
"GPI anchor biosynthetic process","YCR044C","biological_process"
"GPI anchor biosynthetic process","YDR182W","biological_process"
"GPI anchor biosynthetic process","YDR331W","biological_process"
"GPI anchor biosynthetic process","YDR434W","biological_process"
"GPI anchor biosynthetic process","YGL084C","biological_process"
"GPI anchor biosynthetic process","YGL142C","biological_process"
"GPI anchor biosynthetic process","YGR216C","biological_process"
"GPI anchor biosynthetic process","YHR188C","biological_process"
"GPI anchor biosynthetic process","YJL062W","biological_process"
"GPI anchor biosynthetic process","YJL091C","biological_process"
"GPI anchor biosynthetic process","YJR013W","biological_process"
"GPI anchor biosynthetic process","YKL165C","biological_process"
"GPI anchor biosynthetic process","YLL031C","biological_process"
"GPI anchor biosynthetic process","YLR088W","biological_process"
"GPI anchor biosynthetic process","YLR242C","biological_process"
"GPI anchor biosynthetic process","YLR459W","biological_process"
"GPI anchor biosynthetic process","YMR281W","biological_process"
"GPI anchor biosynthetic process","YNL158W","biological_process"
"GPI anchor biosynthetic process","YOR149C","biological_process"
"GPI anchor biosynthetic process","YPL076W","biological_process"
"GPI anchor biosynthetic process","YPR183W","biological_process"
"GPI anchor metabolic process","YFL025C","biological_process"
"GPI-anchor transamidase activity","YDR331W","molecular_function"
"GPI-anchor transamidase activity","YDR434W","molecular_function"
"GPI-anchor transamidase activity","YHR188C","molecular_function"
"GPI-anchor transamidase activity","YLR088W","molecular_function"
"GPI-anchor transamidase activity","YLR459W","molecular_function"
"GPI-anchor transamidase complex","YDR331W","cellular_component"
"GPI-anchor transamidase complex","YDR434W","cellular_component"
"GPI-anchor transamidase complex","YHR188C","cellular_component"
"GPI-anchor transamidase complex","YLR088W","cellular_component"
"GPI-anchor transamidase complex","YLR459W","cellular_component"
"G-protein alpha-subunit binding","YJL080C","molecular_function"
"G-protein beta/gamma-subunit complex binding","YDR183W","molecular_function"
"G-protein beta/gamma-subunit complex binding","YER020W","molecular_function"
"G-protein beta/gamma-subunit complex binding","YOR281C","molecular_function"
"G-protein coupled receptor activity","YDL035C","molecular_function"
"G-protein coupled receptor binding","YER020W","molecular_function"
"G-protein coupled receptor signaling pathway","YDL035C","biological_process"
"G-protein coupled receptor signaling pathway","YER020W","biological_process"
"G-quadruplex DNA binding","YDR369C","molecular_function"
"G-quadruplex DNA binding","YHR031C","molecular_function"
"G-quadruplex DNA binding","YML061C","molecular_function"
"G-quadruplex DNA binding","YMR224C","molecular_function"
"G-quadruplex DNA binding","YNL216W","molecular_function"
"G-quadruplex DNA binding","YNL250W","molecular_function"
"G-quadruplex DNA unwinding","YHR031C","biological_process"
"G-quadruplex DNA unwinding","YML061C","biological_process"
"Group II intron splicing","YDR194C","biological_process"
"Group I intron splicing","YDR194C","biological_process"
"Group I intron splicing","YGR222W","biological_process"
"Group I intron splicing","YHL038C","biological_process"
"Group I intron splicing","YIR021W","biological_process"
"Group I intron splicing","YLR382C","biological_process"
"Group I intron splicing","YOR350C","biological_process"
"Group I intron splicing","YPL029W","biological_process"
"Group I intron splicing","YPR134W","biological_process"
"growth","YKL043W","biological_process"
"growth","YMR016C","biological_process"
"GTPase activating protein binding","YAL056W","molecular_function"
"GTPase activating protein binding","YOR371C","molecular_function"
"GTPase activator activity","YBR260C","molecular_function"
"GTPase activator activity","YCR067C","molecular_function"
"GTPase activator activity","YDL135C","molecular_function"
"GTPase activator activity","YDL226C","molecular_function"
"GTPase activator activity","YDL234C","molecular_function"
"GTPase activator activity","YDL240W","molecular_function"
"GTPase activator activity","YDR002W","molecular_function"
"GTPase activator activity","YDR309C","molecular_function"
"GTPase activator activity","YDR379W","molecular_function"
"GTPase activator activity","YDR389W","molecular_function"
"GTPase activator activity","YDR524C","molecular_function"
"GTPase activator activity","YER122C","molecular_function"
"GTPase activator activity","YER136W","molecular_function"
"GTPase activator activity","YFL027C","molecular_function"
"GTPase activator activity","YFL047W","molecular_function"
"GTPase activator activity","YGL164C","molecular_function"
"GTPase activator activity","YGL181W","molecular_function"
"GTPase activator activity","YGR100W","molecular_function"
"GTPase activator activity","YHR061C","molecular_function"
"GTPase activator activity","YIL044C","molecular_function"
"GTPase activator activity","YIL063C","molecular_function"
"GTPase activator activity","YJL044C","molecular_function"
"GTPase activator activity","YJR053W","molecular_function"
"GTPase activator activity","YJR138W","molecular_function"
"GTPase activator activity","YKL092C","molecular_function"
"GTPase activator activity","YMR192W","molecular_function"
"GTPase activator activity","YMR235C","molecular_function"
"GTPase activator activity","YNL293W","molecular_function"
"GTPase activator activity","YNR026C","molecular_function"
"GTPase activator activity","YOL112W","molecular_function"
"GTPase activator activity","YOR070C","molecular_function"
"GTPase activator activity","YOR127W","molecular_function"
"GTPase activator activity","YOR370C","molecular_function"
"GTPase activator activity","YPL115C","molecular_function"
"GTPase activator activity","YPL161C","molecular_function"
"GTPase activator activity","YPL249C","molecular_function"
"GTPase activator activity","YPR041W","molecular_function"
"GTPase activator activity","YPR088C","molecular_function"
"GTPase activator activity","YPR181C","molecular_function"
"GTPase activity","YAL035W","molecular_function"
"GTPase activity","YAL048C","molecular_function"
"GTPase activity","YBR164C","molecular_function"
"GTPase activity","YBR179C","molecular_function"
"GTPase activity","YBR264C","molecular_function"
"GTPase activity","YCR002C","molecular_function"
"GTPase activity","YCR027C","molecular_function"
"GTPase activity","YDL192W","molecular_function"
"GTPase activity","YDR172W","molecular_function"
"GTPase activity","YER006W","molecular_function"
"GTPase activity","YER020W","molecular_function"
"GTPase activity","YER025W","molecular_function"
"GTPase activity","YER031C","molecular_function"
"GTPase activity","YFL005W","molecular_function"
"GTPase activity","YFL037W","molecular_function"
"GTPase activity","YFL038C","molecular_function"
"GTPase activity","YGL099W","molecular_function"
"GTPase activity","YGL210W","molecular_function"
"GTPase activity","YGR152C","molecular_function"
"GTPase activity","YHR107C","molecular_function"
"GTPase activity","YIL118W","molecular_function"
"GTPase activity","YJL194W","molecular_function"
"GTPase activity","YJR072C","molecular_function"
"GTPase activity","YKL154W","molecular_function"
"GTPase activity","YKL173W","molecular_function"
"GTPase activity","YKR001C","molecular_function"
"GTPase activity","YKR014C","molecular_function"
"GTPase activity","YKR055W","molecular_function"
"GTPase activity","YKR084C","molecular_function"
"GTPase activity","YLL001W","molecular_function"
"GTPase activity","YLR069C","molecular_function"
"GTPase activity","YLR212C","molecular_function"
"GTPase activity","YLR229C","molecular_function"
"GTPase activity","YLR262C","molecular_function"
"GTPase activity","YLR289W","molecular_function"
"GTPase activity","YLR293C","molecular_function"
"GTPase activity","YML001W","molecular_function"
"GTPase activity","YML064C","molecular_function"
"GTPase activity","YML121W","molecular_function"
"GTPase activity","YMR023C","molecular_function"
"GTPase activity","YMR097C","molecular_function"
"GTPase activity","YNL090W","molecular_function"
"GTPase activity","YNL163C","molecular_function"
"GTPase activity","YNL180C","molecular_function"
"GTPase activity","YOL023W","molecular_function"
"GTPase activity","YOR076C","molecular_function"
"GTPase activity","YOR089C","molecular_function"
"GTPase activity","YOR094W","molecular_function"
"GTPase activity","YOR165W","molecular_function"
"GTPase activity","YOR185C","molecular_function"
"GTPase activity","YOR211C","molecular_function"
"GTPase activity","YOR262W","molecular_function"
"GTPase activity","YPL051W","molecular_function"
"GTPase activity","YPL217C","molecular_function"
"GTPase activity","YPR088C","molecular_function"
"GTPase activity","YPR165W","molecular_function"
"GTPase binding","YAL002W","molecular_function"
"GTPase binding","YOR216C","molecular_function"
"GTPase regulator activity","YGL164C","molecular_function"
"GTPase regulator activity","YIL119C","molecular_function"
"GTP binding","YAL035W","molecular_function"
"GTP binding","YAL036C","molecular_function"
"GTP binding","YAL048C","molecular_function"
"GTP binding","YBL033C","molecular_function"
"GTP binding","YBR025C","molecular_function"
"GTP binding","YBR164C","molecular_function"
"GTP binding","YBR179C","molecular_function"
"GTP binding","YBR264C","molecular_function"
"GTP binding","YCR002C","molecular_function"
"GTP binding","YCR027C","molecular_function"
"GTP binding","YDL055C","molecular_function"
"GTP binding","YDL192W","molecular_function"
"GTP binding","YDL225W","molecular_function"
"GTP binding","YDR172W","molecular_function"
"GTP binding","YDR292C","molecular_function"
"GTP binding","YER006W","molecular_function"
"GTP binding","YER020W","molecular_function"
"GTP binding","YER025W","molecular_function"
"GTP binding","YER031C","molecular_function"
"GTP binding","YER170W","molecular_function"
"GTP binding","YFL005W","molecular_function"
"GTP binding","YFL037W","molecular_function"
"GTP binding","YFL038C","molecular_function"
"GTP binding","YGL099W","molecular_function"
"GTP binding","YGL130W","molecular_function"
"GTP binding","YGL210W","molecular_function"
"GTP binding","YGL221C","molecular_function"
"GTP binding","YGR024C","molecular_function"
"GTP binding","YGR152C","molecular_function"
"GTP binding","YGR163W","molecular_function"
"GTP binding","YGR267C","molecular_function"
"GTP binding","YHL014C","molecular_function"
"GTP binding","YHR107C","molecular_function"
"GTP binding","YHR128W","molecular_function"
"GTP binding","YIL118W","molecular_function"
"GTP binding","YJL194W","molecular_function"
"GTP binding","YJR072C","molecular_function"
"GTP binding","YJR076C","molecular_function"
"GTP binding","YJR092W","molecular_function"
"GTP binding","YKL154W","molecular_function"
"GTP binding","YKL173W","molecular_function"
"GTP binding","YKR001C","molecular_function"
"GTP binding","YKR014C","molecular_function"
"GTP binding","YKR055W","molecular_function"
"GTP binding","YKR084C","molecular_function"
"GTP binding","YLL001W","molecular_function"
"GTP binding","YLR069C","molecular_function"
"GTP binding","YLR212C","molecular_function"
"GTP binding","YLR229C","molecular_function"
"GTP binding","YLR262C","molecular_function"
"GTP binding","YLR289W","molecular_function"
"GTP binding","YLR293C","molecular_function"
"GTP binding","YLR314C","molecular_function"
"GTP binding","YML001W","molecular_function"
"GTP binding","YML064C","molecular_function"
"GTP binding","YML121W","molecular_function"
"GTP binding","YMR023C","molecular_function"
"GTP binding","YMR097C","molecular_function"
"GTP binding","YMR138W","molecular_function"
"GTP binding","YNL090W","molecular_function"
"GTP binding","YNL163C","molecular_function"
"GTP binding","YNL180C","molecular_function"
"GTP binding","YNL220W","molecular_function"
"GTP binding","YNL304W","molecular_function"
"GTP binding","YOL023W","molecular_function"
"GTP binding","YOR076C","molecular_function"
"GTP binding","YOR089C","molecular_function"
"GTP binding","YOR094W","molecular_function"
"GTP binding","YOR165W","molecular_function"
"GTP binding","YOR185C","molecular_function"
"GTP binding","YOR211C","molecular_function"
"GTP binding","YOR262W","molecular_function"
"GTP binding","YPL051W","molecular_function"
"GTP binding","YPL093W","molecular_function"
"GTP binding","YPL217C","molecular_function"
"GTP binding","YPR041W","molecular_function"
"GTP binding","YPR088C","molecular_function"
"GTP binding","YPR165W","molecular_function"
"GTP biosynthetic process","YKL067W","biological_process"
"GTP cyclohydrolase I activity","YGL221C","molecular_function"
"GTP cyclohydrolase I activity","YGR267C","molecular_function"
"GTP cyclohydrolase II activity","YBL033C","molecular_function"
"GTP-dependent polyribonucleotide 5'-hydroxyl-kinase activity","YJL087C","molecular_function"
"GTP diphosphatase activity","YJR069C","molecular_function"
"GTP metabolic process","YER170W","biological_process"
"GTP-Rho binding","YER008C","molecular_function"
"GTP-Rho binding","YJL085W","molecular_function"
"Gtr1-Gtr2 GTPase complex","YGR163W","cellular_component"
"Gtr1-Gtr2 GTPase complex","YML121W","cellular_component"
"guanine nucleotide transmembrane transporter activity","YDL198C","molecular_function"
"guanine nucleotide transport","YDL198C","biological_process"
"guanine phosphoribosyltransferase activity","YDR399W","molecular_function"
"guanine salvage","YML035C","biological_process"
"guanine/thymine mispair binding","YDR097C","molecular_function"
"guanine/thymine mispair binding","YHR120W","molecular_function"
"guanine/thymine mispair binding","YOL090W","molecular_function"
"guanosine catabolic process","YLR209C","biological_process"
"guanosine catabolic process","YMR278W","biological_process"
"guanosine-diphosphatase activity","YEL042W","molecular_function"
"guanylate kinase activity","YDR454C","molecular_function"
"guanyl nucleotide binding","YBR264C","molecular_function"
"guanyl nucleotide binding","YER020W","molecular_function"
"guanyl-nucleotide exchange factor activity","YAL024C","molecular_function"
"guanyl-nucleotide exchange factor activity","YAL041W","molecular_function"
"guanyl-nucleotide exchange factor activity","YBL060W","molecular_function"
"guanyl-nucleotide exchange factor activity","YDL100C","molecular_function"
"guanyl-nucleotide exchange factor activity","YDR137W","molecular_function"
"guanyl-nucleotide exchange factor activity","YDR211W","molecular_function"
"guanyl-nucleotide exchange factor activity","YEL022W","molecular_function"
"guanyl-nucleotide exchange factor activity","YER093C","molecular_function"
"guanyl-nucleotide exchange factor activity","YGL097W","molecular_function"
"guanyl-nucleotide exchange factor activity","YGR070W","molecular_function"
"guanyl-nucleotide exchange factor activity","YGR083C","molecular_function"
"guanyl-nucleotide exchange factor activity","YJR031C","molecular_function"
"guanyl-nucleotide exchange factor activity","YKR026C","molecular_function"
"guanyl-nucleotide exchange factor activity","YLR022C","molecular_function"
"guanyl-nucleotide exchange factor activity","YLR039C","molecular_function"
"guanyl-nucleotide exchange factor activity","YLR291C","molecular_function"
"guanyl-nucleotide exchange factor activity","YLR310C","molecular_function"
"guanyl-nucleotide exchange factor activity","YLR371W","molecular_function"
"guanyl-nucleotide exchange factor activity","YLR425W","molecular_function"
"guanyl-nucleotide exchange factor activity","YNL272C","molecular_function"
"guanyl-nucleotide exchange factor activity","YNL297C","molecular_function"
"guanyl-nucleotide exchange factor activity","YOR260W","molecular_function"
"guanyl-nucleotide exchange factor activity","YPL048W","molecular_function"
"guanyl-nucleotide exchange factor activity","YPR017C","molecular_function"
"guanyl-nucleotide exchange factor activity","YPR095C","molecular_function"
"guanyl-nucleotide exchange factor complex","YDR137W","cellular_component"
"guanyl-nucleotide exchange factor complex","YDR211W","cellular_component"
"guanyl-nucleotide exchange factor complex","YGR083C","cellular_component"
"guanyl-nucleotide exchange factor complex","YKR026C","cellular_component"
"guanyl-nucleotide exchange factor complex","YLR039C","cellular_component"
"guanyl-nucleotide exchange factor complex","YLR291C","cellular_component"
"guanyl-nucleotide exchange factor complex","YOR260W","cellular_component"
"H3 histone acetyltransferase activity","YGR252W","molecular_function"
"H3 histone acetyltransferase activity","YLL002W","molecular_function"
"H4/H2A histone acetyltransferase complex","YNL136W","cellular_component"
"H4 histone acetyltransferase activity","YOR244W","molecular_function"
"H4 histone acetyltransferase activity","YPL001W","molecular_function"
"half bridge of spindle pole body","YJL019W","cellular_component"
"half bridge of spindle pole body","YLL003W","cellular_component"
"half bridge of spindle pole body","YNL188W","cellular_component"
"half bridge of spindle pole body","YOR257W","cellular_component"
"HDA1 complex","YDR295C","cellular_component"
"HDA1 complex","YNL021W","cellular_component"
"HDA1 complex","YPR179C","cellular_component"
"heat shock protein binding","YFL016C","molecular_function"
"heat shock protein binding","YLR090W","molecular_function"
"heat shock protein binding","YMR214W","molecular_function"
"heat shock protein binding","YNL064C","molecular_function"
"heat shock protein binding","YNL077W","molecular_function"
"hedgehog receptor activity","YPL006W","molecular_function"
"helicase activity","YAL019W","molecular_function"
"helicase activity","YBL023C","molecular_function"
"helicase activity","YBR114W","molecular_function"
"helicase activity","YBR142W","molecular_function"
"helicase activity","YBR202W","molecular_function"
"helicase activity","YBR237W","molecular_function"
"helicase activity","YBR245C","molecular_function"
"helicase activity","YDL031W","molecular_function"
"helicase activity","YDL084W","molecular_function"
"helicase activity","YDL160C","molecular_function"
"helicase activity","YDR021W","molecular_function"
"helicase activity","YDR190C","molecular_function"
"helicase activity","YDR194C","molecular_function"
"helicase activity","YDR243C","molecular_function"
"helicase activity","YDR332W","molecular_function"
"helicase activity","YDR334W","molecular_function"
"helicase activity","YEL032W","molecular_function"
"helicase activity","YER013W","molecular_function"
"helicase activity","YER164W","molecular_function"
"helicase activity","YER171W","molecular_function"
"helicase activity","YER176W","molecular_function"
"helicase activity","YFL002C","molecular_function"
"helicase activity","YFR038W","molecular_function"
"helicase activity","YGL064C","molecular_function"
"helicase activity","YGL120C","molecular_function"
"helicase activity","YGL150C","molecular_function"
"helicase activity","YGL163C","molecular_function"
"helicase activity","YGL171W","molecular_function"
